wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
3330,-3402,-7307,-2970,-4573,-2387,4303,579,-3099,-182,8737,-1914,-1517,-4268,-5555,-202,2549,-2979,-1297,-11,382,7264,416,-2663,0.371456503868103,2.0,0.742913007736206,886329.0
23,25,-54,-927,7777,-2570,7,-73,31,1763,7957,-1435,38,-43,-47,7741,-66,-1847,-48,-38,32,7597,66,-2211,0.34213098883628845,2.0,0.6842619776725769,816331.0
20,7,-49,-922,7703,-2572,-18,-99,37,1744,7880,-1469,32,-29,-47,7681,-41,-1835,-79,-24,25,7562,48,-2169,0.3470185697078705,2.0,0.694037139415741,828018.0
20,-17,-52,-938,7654,-2557,-41,-123,41,1727,7887,-1441,3,-28,-49,7623,-41,-1836,-82,-19,28,7500,6,-2164,0.34213098883628845,2.0,0.6842619776725769,816356.0
14,-64,-38,-901,7624,-2552,-22,-141,53,1762,7817,-1556,-49,-15,-48,7636,-99,-1847,-84,-48,29,7503,-21,-2155,0.3519061505794525,2.0,0.703812301158905,839680.0
13,-70,-30,-884,7673,-2579,-4,-112,25,1706,7852,-1512,-70,2,-27,7650,-146,-1843,-51,-55,20,7594,-47,-2179,0.34213098883628845,2.0,0.6842619776725769,816356.0
-3,-51,-7,-881,7682,-2570,-11,-96,7,1692,7930,-1542,-47,-12,-14,7654,-150,-1882,-32,-42,0,7629,-10,-2151,0.3519061505794525,2.0,0.703812301158905,839680.0
-10,-27,9,-923,7661,-2562,-17,-119,1,1695,7836,-1485,-16,-5,-8,7656,-159,-1901,4,-14,-3,7525,-1,-2157,0.3470185697078705,2.0,0.694037139415741,828018.0
-10,-29,23,-939,7688,-2612,8,-143,-1,1727,7822,-1418,28,-14,-2,7618,-77,-1895,18,-32,9,7438,25,-2158,0.3372434079647064,2.0,0.6744868159294128,804693.0
-8,-34,29,-928,7619,-2588,29,-190,3,1729,7823,-1384,24,-19,-2,7646,25,-1894,-13,-51,27,7537,25,-2167,0.3470185697078705,2.0,0.694037139415741,828018.0
9,-62,21,-938,7594,-2618,17,-210,5,1742,7870,-1426,-20,-5,-10,7638,71,-1942,-10,-43,15,7530,58,-2198,0.3470185697078705,2.0,0.694037139415741,828018.0
34,-117,-9,-966,7716,-2589,8,-212,18,1746,7932,-1443,-34,-50,-18,7708,30,-1976,-5,-60,7,7534,62,-2270,0.3470185697078705,2.0,0.694037139415741,828018.0
52,-84,-26,-895,7824,-2611,-5,-222,37,1752,8034,-1415,17,-86,-40,7799,-42,-2095,-29,-69,10,7550,63,-2268,0.34213098883628845,2.0,0.6842619776725769,816356.0
98,65,-99,-881,7826,-2787,-86,-354,119,1774,8096,-1240,283,-149,-85,7863,4,-2282,-77,-42,27,7562,84,-2219,0.3470185697078705,2.0,0.694037139415741,828018.0
180,272,-213,-938,7885,-2831,-162,-504,210,1785,8196,-1052,599,-277,-235,8010,126,-2608,-152,-26,34,7509,95,-2208,0.3519061505794525,2.0,0.703812301158905,839680.0
340,577,-434,-909,8150,-2881,-245,-752,340,1867,8427,-786,1164,-465,-419,8176,614,-2872,-151,-46,31,7506,-55,-2216,0.3519061505794525,2.0,0.703812301158905,839680.0
515,758,-674,-1093,8202,-2930,-437,-1133,571,2040,8677,-489,1395,-701,-692,8390,1183,-3231,-110,-75,5,7490,-88,-2167,0.3470185697078705,2.0,0.694037139415741,828018.0
802,914,-1055,-1145,8370,-2940,-667,-1354,771,2221,8637,-449,1441,-1077,-1100,8296,1453,-3692,-23,-78,-2,7469,-117,-2134,0.3519061505794525,2.0,0.703812301158905,839680.0
1012,1007,-1365,-1175,8367,-2942,-994,-1615,1084,2591,8685,-170,1512,-1738,-1542,8366,1812,-3956,24,-91,1,7462,-152,-2192,0.3372434079647064,2.0,0.6744868159294128,804693.0
1386,1143,-1752,-1432,8439,-3166,-1273,-1712,1331,2782,8789,167,1492,-2228,-1788,8984,1964,-4210,51,-113,2,7334,-176,-2335,0.34213098883628845,2.0,0.6842619776725769,816356.0
1975,1271,-2355,-1750,8661,-3643,-1694,-1771,1636,2889,8643,215,1276,-2689,-2066,9451,2065,-4338,40,-187,-8,7205,-93,-2531,0.34213098883628845,2.0,0.6842619776725769,816356.0
2425,1355,-2738,-2013,8803,-3918,-1964,-1881,1805,2775,8631,271,1138,-2996,-2330,9790,2064,-4493,-73,-291,-39,7111,113,-2660,0.3470185697078705,2.0,0.694037139415741,828018.0
2994,1324,-3112,-2505,8940,-4320,-2132,-1981,1958,2583,8735,245,791,-3170,-2496,10029,1942,-4459,-190,-396,-48,6893,207,-2764,0.34213098883628845,2.0,0.6842619776725769,816356.0
3412,1362,-3341,-2768,8798,-4814,-2430,-2110,2053,2310,8651,146,1115,-3136,-2514,10455,1829,-4837,-229,-483,-42,6415,209,-3059,0.34213098883628845,2.0,0.6842619776725769,816356.0
3973,1479,-3613,-3564,8659,-5482,-2725,-2570,2244,2161,8323,342,1218,-3069,-2607,10177,2436,-5853,-297,-710,-24,5608,230,-3304,0.34213098883628845,2.0,0.6842619776725769,816356.0
4357,1355,-3628,-3776,8516,-5502,-3073,-3006,2436,1918,7905,619,1252,-3380,-3289,9701,3654,-7781,-406,-1089,26,5371,292,-3527,0.3519061505794525,2.0,0.703812301158905,839680.0
4732,1053,-3566,-3735,8081,-5538,-3294,-3378,2476,1946,7434,627,1011,-4622,-4008,8799,4969,-8592,-517,-1412,81,5160,369,-3867,0.34213098883628845,2.0,0.6842619776725769,816356.0
5547,1057,-3896,-4396,7066,-6970,-3532,-3584,2616,2165,6854,601,94,-5708,-3783,9676,5142,-8834,-782,-1820,168,5026,283,-4172,0.44477027654647827,2.0,0.8895405530929565,1061262.0
6280,1283,-4408,-5872,6258,-8553,-3637,-3656,2677,2381,6251,441,-733,-5690,-3177,10200,4315,-9421,-1152,-2251,194,5719,285,-4202,0.3470185697078705,2.0,0.694037139415741,828018.0
7240,660,-4507,-6445,4780,-10798,-3648,-3592,2649,1953,5333,301,-409,-5086,-3464,9949,3036,-9814,-1388,-2228,183,6379,-253,-3765,0.3372434079647064,2.0,0.6744868159294128,804693.0
