wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-857,1776,-2660,-718,6384,864,1724,3122,-2051,1002,6489,-3218,2088,76,-2082,6165,-2280,2056,3419,-78,-101,8160,1554,-1348,0.3812316656112671,5.043988227844238,1.922927975654602,0.0
3578,-1714,-6081,-2361,10904,-3871,2822,1089,-1308,2351,8655,-2164,-2257,-2976,-4758,12326,-789,-1808,-3509,1370,1660,7659,-92,-2180,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
3404,-2129,-5929,-1844,10218,-3324,2342,636,-1070,2209,7803,-1676,-2468,-2643,-4663,10964,-1251,-1342,-3486,1665,1719,7890,-506,-1963,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
3050,-2463,-5568,-793,9418,-3054,2227,367,-736,2545,7571,-1638,-2567,-2428,-4779,10390,-1753,-1095,-3510,1948,1748,7604,-639,-1941,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
2749,-2667,-5069,0,9138,-2865,2279,125,-531,2978,7136,-2262,-3021,-2075,-4798,9581,-2492,-751,-3657,1867,1559,7695,-774,-2027,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
2358,-2984,-4221,386,8352,-2566,2326,307,-507,1974,7606,-3771,-3641,-1787,-4258,8993,-3480,-361,-3748,1799,1832,7778,-185,-2456,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
2042,-3320,-3647,200,7795,-2543,1776,1013,-823,512,8668,-3620,-4280,-1238,-3440,8425,-4591,-168,-4090,2035,1782,8130,137,-3952,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
1653,-3661,-2843,202,7143,-2662,852,235,-738,264,8211,-2539,-4271,-553,-2322,7451,-5386,-191,-5913,1150,1150,7902,3274,-7900,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
1360,-3970,-2036,993,6707,-2548,459,-822,-383,627,7786,-2359,-3891,33,-1568,6797,-5618,-207,-7167,431,1047,8349,4578,-8309,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
1073,-3754,-824,2372,6587,-2470,40,-1936,-118,1367,8000,-2994,-3524,338,-831,6352,-5942,-499,-4590,434,-97,6484,5236,-6830,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
876,-3043,-15,2236,6486,-2587,-383,-2186,-126,1773,7578,-2765,-3072,553,12,6016,-5986,-1011,1271,485,-726,5870,2739,-2773,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
606,-2303,958,1547,5890,-2732,-950,-2427,193,2057,6626,-2015,-2232,780,617,5567,-5607,-1216,1117,427,-933,5733,1747,-2128,0.3861192464828491,5.053763389587402,1.9513553380966187,0.0
430,-2001,1611,1640,5652,-2930,-1168,-2821,671,2073,6455,-1832,-1544,870,1311,5728,-4905,-1591,-188,50,-1062,5629,306,-1015,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
367,-1371,2343,1809,5838,-3795,-1256,-3163,1155,1767,7245,-2096,-1319,884,1952,6259,-4499,-2548,270,619,-868,5915,69,-1059,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
595,-929,2894,1262,6095,-4526,-1664,-3235,1294,1142,7760,-2429,-1509,1037,2669,7041,-4117,-3463,-594,1267,-873,5936,1162,-3016,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
1059,-1027,3757,-51,6547,-4537,-2337,-3544,1538,176,7904,-2840,-1996,935,3634,6952,-3558,-4152,-1982,1294,-497,5836,1054,-3679,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
1371,-1495,4545,-512,6894,-4375,-2700,-4118,1895,-303,7909,-3191,-2830,214,4388,7155,-3064,-4376,-3126,1018,-43,6264,378,-4281,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
1754,-1964,5551,-734,7511,-4174,-3018,-4942,2488,-286,8113,-3780,-3322,-811,5184,7868,-2546,-4235,-3134,600,177,7724,-616,-4750,0.40566959977149963,5.053763389587402,2.0501582622528076,0.0
2032,-2025,6230,-1000,7926,-4551,-3286,-5376,2978,-91,8337,-4023,-3388,-1701,5600,8913,-2112,-3938,-1274,806,344,8819,-1155,-4738,0.3372434079647064,5.043988227844238,1.7010518312454224,0.0
2466,-1726,6975,-1987,8555,-5378,-3601,-5717,3571,225,8005,-4459,-3280,-2137,5952,10807,-1455,-3969,-180,1068,-104,8832,-1288,-4673,0.34213098883628845,5.053763389587402,1.7290490865707397,0.0
2851,-1578,7457,-3368,9269,-5785,-3660,-5858,3978,106,8226,-4699,-3272,-2253,6556,12489,-550,-4048,867,1425,-134,7415,-459,-3884,0.3470185697078705,5.053763389587402,1.7537497282028198,0.0
3393,-1964,8045,-5020,10060,-5936,-3886,-5993,4446,192,8753,-4776,-3570,-2324,7099,13343,475,-3989,1424,1323,-476,6172,432,-3694,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
3789,-2593,8498,-5177,10443,-5646,-4109,-5995,4904,359,8736,-4635,-4170,-2598,7654,13578,1325,-3704,1566,509,-670,5905,816,-2975,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
