wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-148,-234,17,-3912,7124,-791,-92,-249,98,2201,7865,-1445,138,-62,155,6679,2325,-3570,-57,16,31,6258,-2482,-3835,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0018390152836218476
-30,32,-233,-3512,7333,-827,-116,-100,162,1903,7866,-1343,-117,-183,-268,6790,791,-4255,40,-16,-4,7529,-1206,-1816,0.3176930546760559,5.043988227844238,1.6024399995803833,0.01531725749373436
-33,21,-252,-3543,7320,-799,-120,-95,195,1914,7830,-1320,-90,-138,-280,6801,951,-4433,14,-7,3,7492,-1236,-1829,0.30791789293289185,5.053763389587402,1.556144118309021,0.01532469131052494
-38,31,-304,-3619,7306,-776,-147,-63,204,1878,7837,-1239,-78,-159,-337,6683,1225,-4443,-3,-3,7,7500,-1203,-1802,0.3128054738044739,5.053763389587402,1.5808448791503906,0.015332250855863094
-43,12,-350,-3656,7309,-737,-139,-59,206,1842,7857,-1290,-151,-226,-422,6683,1309,-4437,-29,-16,18,7476,-1102,-1785,0.3176930546760559,5.043988227844238,1.6024399995803833,0.01533990353345871
-53,-34,-408,-3665,7268,-701,-114,-103,213,1870,7915,-1355,-263,-250,-443,6753,1269,-4417,-67,-45,33,7461,-1118,-1871,0.3128054738044739,5.053763389587402,1.5808448791503906,0.015347438864409924
-58,-59,-446,-3739,7230,-661,-117,-125,231,1942,7859,-1426,-316,-254,-425,6707,1174,-4337,-95,-24,38,7516,-1274,-1853,0.3128054738044739,5.053763389587402,1.5808448791503906,0.015354991890490055
-58,-66,-462,-3786,7150,-656,-135,-149,262,2057,7730,-1635,-294,-247,-391,6731,1092,-4281,-149,42,45,7526,-1230,-1668,0.32258063554763794,5.053763389587402,1.6302461624145508,0.015362784266471863
-95,-24,-474,-3926,7084,-608,-119,-154,262,2188,7732,-1720,-150,-218,-360,6682,1325,-4292,-164,29,71,7447,-1025,-1515,0.3128054738044739,5.053763389587402,1.5808448791503906,0.015370327048003674
-125,29,-469,-4043,7060,-548,-110,-131,254,2253,7681,-1884,-28,-183,-394,6675,1646,-4303,-171,-50,95,7397,-898,-1464,0.32258063554763794,5.043988227844238,1.627092957496643,0.01537809707224369
-205,141,-500,-4553,7068,-483,-69,-59,259,2437,7775,-2021,43,-162,-438,6858,2182,-4571,-141,-154,123,7606,-710,-1719,0.3176930546760559,5.053763389587402,1.6055455207824707,0.015385755337774754
-262,279,-581,-4854,7110,-189,-80,31,276,2574,7900,-2196,234,-124,-501,6883,2814,-4925,-194,-91,156,7633,-413,-2113,0.3176930546760559,5.043988227844238,1.6024399995803833,0.015393402427434921
-361,624,-758,-5442,6948,-78,-129,202,282,2785,7987,-2363,517,-303,-765,6671,3711,-4825,-210,-86,153,7551,-447,-2430,0.3128054738044739,5.053763389587402,1.5808448791503906,0.015400959178805351
-470,784,-908,-6008,6701,-117,-177,299,301,2679,7815,-2595,649,-368,-1073,6849,4370,-4963,-396,-40,158,7503,-781,-2224,0.3128054738044739,5.053763389587402,1.5808448791503906,0.015408513136208057
-601,963,-1117,-6790,6527,-75,-183,439,370,3047,7362,-2713,667,-257,-1289,6895,5367,-5150,-453,-3,205,7170,-1027,-1647,0.3128054738044739,5.043988227844238,1.577787160873413,0.01541607640683651
-753,992,-1448,-7859,6138,-2,-62,586,471,3199,7097,-2968,536,-154,-1405,6847,6125,-5390,-399,-84,293,7214,-1830,-1588,0.3176930546760559,5.043988227844238,1.6024399995803833,0.01542374212294817
-851,987,-1707,-8153,5853,161,136,969,625,2948,6798,-3073,618,-46,-1636,6549,6658,-5965,-284,-90,357,7666,-2863,-1984,0.3176930546760559,5.053763389587402,1.6055455207824707,0.015431434847414494
-955,1499,-2176,-8658,5571,302,323,1343,805,2798,6523,-3141,1161,-252,-2148,6338,7274,-6506,40,215,421,7641,-3424,-2333,0.32258063554763794,5.053763389587402,1.6302461624145508,0.01543921697884798
-973,2036,-2607,-9258,5445,400,745,1727,1201,2376,6317,-3313,1612,-540,-2834,6303,8364,-6968,399,326,204,7053,-3440,-2537,0.32258063554763794,5.053763389587402,1.6302461624145508,0.015447013080120087
-1009,2812,-3183,-9567,5555,1259,1297,1981,1517,2198,6474,-3559,1769,-1096,-3367,6342,9519,-7124,1174,182,-56,6896,-2697,-2742,0.3176930546760559,5.053763389587402,1.6055455207824707,0.015454708598554134
-1088,3437,-3672,-10108,5810,1861,1892,2144,1875,1999,6906,-3978,1799,-2147,-3962,7346,10075,-7089,1878,11,-415,7093,-1526,-3297,0.3323558270931244,5.053763389587402,1.67964768409729,0.015462741255760193
-1276,4421,-4248,-10975,6279,2307,2548,2047,2414,1826,7415,-4192,2166,-2922,-4547,8555,10181,-6946,2002,-72,-663,7207,-286,-3820,0.3176930546760559,5.053763389587402,1.6055455207824707,0.015470418147742748
-1399,5148,-4700,-12065,7114,2228,2963,1671,2898,1942,7911,-4289,2858,-3190,-5204,10467,10571,-6914,1744,-146,-698,6939,969,-4353,0.3128054738044739,5.053763389587402,1.5808448791503906,0.015477979555726051
-1537,5486,-5285,-12757,7769,2108,3416,916,3384,2362,8462,-4452,3084,-3248,-5659,11250,12188,-6488,1125,-290,-415,6621,1160,-4414,0.3176930546760559,5.053763389587402,1.6055455207824707,0.015485665760934353
-1708,5556,-6102,-12747,7927,2229,3644,420,3571,2755,8487,-4628,2558,-2896,-6334,11833,12514,-6360,608,-359,4,6402,594,-4170,0.3176930546760559,5.053763389587402,1.6055455207824707,0.015493318438529968
-1924,5491,-6750,-12654,8125,2501,3879,48,3621,3645,7959,-4887,1918,-2601,-6923,12490,12137,-6274,577,-486,224,6200,-337,-3666,0.32258063554763794,5.053763389587402,1.6302461624145508,0.015501090325415134
-2249,5494,-7576,-12787,8179,2303,4149,-139,3681,4583,7511,-4896,1720,-2102,-7562,12848,11445,-6058,1029,-833,150,6042,-1290,-3207,0.3176930546760559,5.053763389587402,1.6055455207824707,0.01550875511020422
-2378,5427,-8125,-12800,8415,2245,4708,-427,3766,6212,7094,-5674,1742,-1875,-8115,13336,10925,-6043,1653,-1270,-208,5823,-1389,-3133,0.3176930546760559,5.053763389587402,1.6055455207824707,0.015516424551606178
-2590,5281,-8897,-12828,8645,2887,5143,-44,3467,6897,6996,-6547,1989,-1692,-8247,13372,10996,-5958,1901,-1551,-423,5312,-1298,-3519,0.3176930546760559,5.053763389587402,1.6055455207824707,0.015524095855653286
-2809,5013,-9395,-12365,8618,2986,5366,1291,2927,6503,7019,-6846,1586,-1991,-8611,13435,10551,-5842,1980,-1835,-493,4861,-1132,-3590,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0155317522585392
-3209,4909,-9935,-11494,8601,2369,5389,3186,2376,5671,7522,-6430,1526,-2224,-9240,13811,9938,-6022,2276,-1913,-435,4832,-942,-3180,0.32258063554763794,5.053763389587402,1.6302461624145508,0.015539538115262985
-3406,5024,-10386,-11322,8303,1559,5267,3774,2316,5344,7471,-6025,1500,-2216,-10181,13965,9662,-6305,2701,-2164,-312,5153,-671,-2846,0.3128054738044739,5.043988227844238,1.577787160873413,0.015547067858278751
-3476,4985,-10882,-11452,8044,924,5353,3930,2241,4673,6568,-6034,1273,-2093,-10809,13969,9356,-6823,3356,-2979,177,5554,-823,-3615,0.32258063554763794,5.043988227844238,1.627092957496643,0.015554879792034626
