wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-880,-9175,1222,1858,-11983,-4383,-9316,2478,-3511,3197,6247,-10602,-4966,-2230,3101,-9578,-6626,6502,736,283,-149,7293,-485,-3484,0.371456503868103,5.043988227844238,1.873622179031372,0.06741909682750702
9,-69,-18,-2111,7597,-1929,14,-98,7,1284,7899,-1579,39,1,-28,7428,1500,-2447,-23,-42,-8,7702,183,-2001,0.32746821641921997,5.043988227844238,1.6517457962036133,0.07372494786977768
13,-4,-30,-2274,7625,-1928,14,-70,7,1319,8013,-1593,40,-14,-25,7478,1544,-2440,-45,-34,-8,7721,208,-1950,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07373262941837311
21,-67,-29,-2298,7578,-1991,8,-67,9,1316,7943,-1636,8,-25,-13,7499,1539,-2394,-46,-27,3,7703,129,-1940,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07374029606580734
8,-61,1,-2147,7596,-1968,7,-79,1,1356,7968,-1624,-26,-17,8,7487,1497,-2398,-43,3,15,7617,24,-1880,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07374786585569382
13,-77,8,-2229,7566,-1950,15,-36,-13,1352,7872,-1594,-35,-1,26,7433,1485,-2374,-54,13,30,7541,0,-1858,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07375553995370865
-1,-87,12,-2168,7524,-1977,7,-18,-3,1311,7809,-1574,-12,20,22,7400,1501,-2375,-36,-8,18,7524,-67,-1908,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07376320660114288
-5,-59,19,-2129,7540,-1969,6,-39,14,1263,7837,-1595,31,31,6,7386,1531,-2436,4,-42,-4,7647,-37,-1947,0.3372434079647064,5.053763389587402,1.7043484449386597,0.07377135008573532
-7,-27,-1,-2146,7527,-1965,2,-72,25,1289,7901,-1605,71,10,-8,7399,1566,-2458,43,-48,-21,7688,25,-2026,0.30791789293289185,5.053763389587402,1.556144118309021,0.07377881556749344
-26,42,-6,-2082,7563,-1938,-10,-85,25,1296,7935,-1599,78,-28,-27,7416,1562,-2465,71,-33,-24,7632,35,-2068,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07378638535737991
7,10,-24,-2381,7596,-1972,-27,-91,19,1283,7942,-1606,54,-17,-9,7450,1585,-2411,12,-16,-8,7563,125,-1972,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07379405945539474
10,-44,-15,-2353,7532,-1947,-34,-101,21,1230,7883,-1617,-5,-15,12,7465,1606,-2417,-38,-8,8,7654,143,-1965,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07380171865224838
16,-110,-11,-2253,7609,-1970,-22,-112,24,1261,7922,-1643,-5,-2,7,7488,1604,-2413,-31,4,1,7667,54,-1955,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07380926609039307
-11,-67,-7,-2134,7578,-1937,-41,-115,30,1287,7989,-1619,53,-1,-16,7471,1598,-2419,6,-1,-12,7581,16,-1933,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07381682842969894
7,34,-61,-2376,7604,-1966,-86,-152,35,1342,7963,-1577,132,21,-33,7483,1764,-2426,2,-26,-10,7526,57,-1930,0.30791789293289185,5.053763389587402,1.556144118309021,0.07382427155971527
-13,105,-117,-2329,7580,-1943,-109,-166,61,1345,7973,-1423,251,9,-110,7435,2046,-2462,23,-43,-4,7597,108,-1912,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0738319456577301
-14,176,-227,-2411,7601,-1994,-158,-192,86,1392,8037,-1393,250,-13,-212,7487,2244,-2461,32,-4,-3,7687,43,-1917,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07383961230516434
-21,199,-337,-2515,7584,-2050,-210,-239,116,1364,8049,-1404,200,-14,-317,7545,2337,-2536,23,-4,-5,7626,24,-1936,0.32258063554763794,5.053763389587402,1.6302461624145508,0.07384739816188812
5,278,-487,-2716,7622,-2087,-250,-333,129,1345,8120,-1257,300,16,-397,7718,2447,-2645,15,-19,-16,7613,-20,-1998,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07385506480932236
52,464,-724,-3039,7858,-2205,-318,-532,198,1301,8370,-930,597,24,-544,7864,2813,-2813,-11,-34,-27,7604,-17,-1968,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0738629624247551
43,769,-1118,-2988,7869,-2302,-462,-866,350,1491,8471,-771,1134,-30,-804,7784,3388,-2871,-18,-29,-31,7631,69,-1930,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07387062162160873
48,955,-1479,-2982,7746,-2354,-588,-1073,483,1847,8260,-800,1471,-35,-1286,7803,4012,-3050,4,-14,-9,7628,127,-1938,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07387828081846237
66,1144,-1862,-3215,7630,-2542,-707,-1095,657,2363,8014,-817,1512,-35,-1773,7707,4337,-3037,-15,8,13,7661,110,-1966,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07388582825660706
76,1250,-2381,-3792,7530,-2602,-845,-876,778,2666,8122,-736,1367,-65,-2133,7902,4692,-3309,-96,7,30,7590,32,-1928,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07389350980520248
217,1277,-2814,-4195,7528,-2756,-1019,-562,950,2705,8157,-560,1216,-143,-2322,8463,4990,-3619,-96,-17,16,7596,-38,-1926,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07390117645263672
391,1516,-3484,-4571,8191,-3236,-1096,-546,1137,2727,8505,-343,1489,-177,-2699,8995,5355,-4161,-67,-16,-4,7572,-95,-1943,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07390882819890976
500,1906,-4089,-5053,8519,-3509,-1189,-719,1461,2539,8464,-40,2120,-232,-3376,9211,5863,-4481,-6,-16,-27,7559,-101,-2022,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07391650229692459
674,2234,-4848,-5544,8638,-3747,-1157,-846,1742,2860,8461,-272,2416,-406,-4317,9574,7129,-4974,36,-19,-24,7643,-51,-2078,0.32258063554763794,5.053763389587402,1.6302461624145508,0.07392429560422897
852,2063,-5472,-6039,8872,-3860,-1272,-1125,2078,2934,8659,-381,2071,-1008,-4980,10264,8293,-5218,42,-7,-34,7710,10,-2129,0.32258063554763794,5.053763389587402,1.6302461624145508,0.07393209636211395
1191,1906,-6367,-7152,8752,-4861,-1565,-1648,2479,2760,8969,-5,958,-1333,-5613,11229,9515,-5742,61,18,-53,7578,149,-2100,0.3372434079647064,5.053763389587402,1.7043484449386597,0.0739402323961258
1606,1744,-7092,-7707,8634,-5636,-1823,-1988,2641,2951,8780,-238,-30,-1120,-6224,12258,9827,-6101,97,26,-48,7595,159,-2094,0.32746821641921997,5.053763389587402,1.6549469232559204,0.07394812256097794
2117,2441,-7718,-8196,8472,-6703,-1971,-2011,2771,2818,8492,-231,599,-449,-7115,13190,8747,-6605,89,48,-56,7540,268,-2004,0.3128054738044739,5.043988227844238,1.577787160873413,0.07395566254854202
2882,2683,-8596,-10013,7871,-6746,-2015,-1842,2680,2637,8487,-832,1747,197,-7615,12148,8878,-6505,-7,24,-31,7646,183,-1960,0.3176930546760559,5.043988227844238,1.6024399995803833,0.07396331429481506
3355,2279,-9002,-11161,6597,-6230,-1642,-1605,2582,2433,8109,-1953,1884,228,-7727,10810,9875,-6317,-5,8,-25,7718,159,-2005,0.32258063554763794,5.053763389587402,1.6302461624145508,0.07397112250328064
3907,1913,-9073,-10388,5816,-5561,-1293,-1711,2486,2346,7820,-2210,722,-285,-7716,9645,10585,-6121,-6,3,-41,7742,125,-1908,0.32258063554763794,5.053763389587402,1.6302461624145508,0.07397890836000443
3857,1552,-8979,-9765,4641,-5449,-875,-1563,2288,2388,6661,-2214,14,-1009,-8236,8465,10452,-6144,21,33,-41,7775,168,-1781,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07398645579814911
4125,394,-9234,-9907,3252,-5980,-252,-1310,2054,1868,5680,-2208,753,-1717,-8538,7841,8727,-5998,24,105,-12,7746,128,-1819,0.3176930546760559,5.043988227844238,1.6024399995803833,0.07399410754442215
4293,-223,-9589,-8720,2636,-6069,526,-1155,1628,1319,5690,-2487,1177,-2382,-8638,7169,7530,-5771,-33,125,5,7539,-1,-1774,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07400164753198624
4447,-287,-9643,-6641,1319,-5976,1367,-1116,901,602,6572,-3015,1079,-2563,-8502,6627,6671,-5712,3,74,-10,7564,-137,-1800,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07400931417942047
4941,365,-9517,-5252,586,-4777,1744,-1195,414,310,6604,-3374,987,-2954,-8201,5409,5369,-5339,73,11,-65,7683,-82,-1814,0.30791789293289185,5.053763389587402,1.556144118309021,0.07401673495769501
5017,805,-9452,-5142,668,-4152,2118,-1597,13,778,6043,-3430,1072,-3512,-7713,4723,4853,-4833,121,-3,-97,7719,48,-1813,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07402428239583969
5023,1154,-9438,-5532,599,-3785,2487,-1943,-168,1018,5976,-3440,1647,-4510,-7321,4349,4908,-3595,191,20,-91,7572,-9,-1856,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07403182983398438
5016,653,-9159,-5357,80,-3648,2996,-2713,-464,1028,6614,-3726,1459,-4923,-7229,4590,5211,-2430,176,46,-47,7565,-129,-1966,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07403937727212906
4930,-139,-8723,-4622,-477,-3980,3289,-3202,-846,867,7114,-3931,840,-4441,-7299,4772,5598,-1706,84,65,-33,7587,-81,-1924,0.30791789293289185,5.053763389587402,1.556144118309021,0.0740467980504036
4817,-175,-8583,-4151,-720,-4037,3553,-4030,-1144,1609,7455,-4199,331,-3591,-7513,4242,5264,-1649,5,57,-42,7576,147,-1868,0.3128054738044739,5.053763389587402,1.5808448791503906,0.07405434548854828
4441,482,-8633,-4389,-1703,-3659,3673,-4031,-1285,2393,7488,-4267,1155,-2740,-7526,3227,5152,-955,95,6,-78,7558,216,-1949,0.3128054738044739,5.043988227844238,1.577787160873413,0.07406188547611237
4196,1248,-8745,-4609,-2339,-3553,3855,-3894,-1503,2950,7090,-4443,2197,-1808,-7408,2368,4630,-332,182,-33,-110,7458,125,-2042,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07406957447528839
3811,1793,-8573,-4267,-2855,-3434,4472,-3515,-1681,3588,7272,-5318,2732,-930,-7293,1324,4257,-57,230,-68,-112,7524,101,-2066,0.3176930546760559,5.053763389587402,1.6055455207824707,0.07407724857330322
3194,1700,-8100,-4306,-3231,-2658,4776,-3498,-1572,3809,8123,-5830,2427,-431,-6989,251,3995,-264,102,-71,-87,7673,242,-1996,0.3323558270931244,5.053763389587402,1.67964768409729,0.07408526539802551
