wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-1601,-561,1268,146,-1003,-10571,-1572,-1185,-117,3240,7476,-2442,-234,1768,3593,647,2813,-10177,193,-258,-16,7702,928,-1217,0.36168134212493896,2.0,0.7233626842498779,863004.0
8874,-4303,2102,5561,2342,53,334,-5394,2806,1760,-104,-4214,-6207,-10000,1518,4245,-8082,-32,-4655,1972,1296,6674,-8095,-1928,0.30791789293289185,2.0,0.6158357858657837,734657.0
8115,-4348,1908,7095,2179,1061,-65,-5263,3496,-358,-29,-4254,-5206,-9505,1589,3408,-11300,-351,879,684,612,4499,-8289,-4902,0.32258063554763794,2.0,0.6451612710952759,769707.0
7300,-1252,2944,9126,1965,3021,-561,-5748,4177,-2340,753,-3819,-1179,-9922,1472,2781,-12428,68,5218,-606,-240,5592,-233,-8262,0.30791789293289185,2.0,0.6158357858657837,734720.0
6739,2310,4447,8585,1457,3335,-1001,-6564,4173,-2664,1016,-3649,2608,-10560,1892,3862,-11353,502,4913,-1014,-597,5945,6517,-8483,0.3030303120613098,2.0,0.6060606241226196,723058.0
5902,5919,5931,6495,3288,3518,-1539,-7648,3659,-1743,1197,-3110,5808,-10282,2665,5491,-8245,2196,3051,-1071,-327,4625,6262,-7066,0.3030303120613098,2.0,0.6060606241226196,723058.0
5226,6569,6183,4409,3585,4733,-1625,-7524,3392,-1704,1321,-3295,6401,-9317,4326,5575,-5667,4880,1750,-1385,846,1971,1278,-6244,0.2981427311897278,2.0,0.5962854623794556,711396.0
3858,6903,5716,1843,1314,6851,-1963,-6432,3526,-2691,510,-3438,6146,-8482,6118,5393,-4752,7003,365,-1931,1659,1147,-2931,-4085,0.3128054738044739,2.0,0.6256109476089478,746382.0
2955,7156,6048,77,307,7777,-2241,-5595,3847,-3681,-744,-2915,6421,-7475,7364,5737,-3309,8151,-1203,-2206,1933,2082,-2527,-1783,0.30791789293289185,2.0,0.6158357858657837,734720.0
1476,6536,6827,-258,97,9213,-1739,-3652,4010,-4185,-505,-3351,6731,-6761,7653,6520,-1516,9777,-2232,-2271,1483,2433,-1357,-1360,0.30791789293289185,2.0,0.6158357858657837,734720.0
361,6178,7491,-2480,172,11661,-1673,-2490,3520,-2820,776,-4641,7035,-6332,7507,6898,-234,10619,-2047,-2562,969,3195,486,-1285,0.3176930546760559,2.0,0.6353861093521118,758044.0
-632,6073,7200,-3157,-526,12237,-2189,-1493,2947,-1212,804,-5902,7153,-6178,8268,7133,1119,12763,-710,-2986,240,5881,2508,-827,0.2981427311897278,2.0,0.5962854623794556,711396.0
-2265,6625,6462,-4239,-1069,8943,-2889,1074,2158,-1025,-406,-7145,8831,-4272,8247,8479,3080,15953,806,-2594,93,9028,3852,222,0.29325512051582336,2.0,0.5865102410316467,699733.0
-4167,5972,6285,-4208,-2527,8432,-3568,2972,1894,-2402,-1363,-8572,10241,-59,6276,7373,7739,17761,1786,-1742,-51,13609,2436,268,0.30791789293289185,2.0,0.6158357858657837,734720.0
-5988,5846,4950,-6293,-5799,7646,-3972,4421,1781,-4902,-1499,-11729,10890,2750,4607,5025,12370,18173,3609,-515,65,15848,-33,-185,0.29325512051582336,2.0,0.5865102410316467,699733.0
-6936,4753,2932,-8726,-8855,6377,-4615,5113,1520,-6568,-1442,-14147,8885,6298,3121,2914,15650,16146,3898,373,277,13985,-1106,-934,0.2981427311897278,2.0,0.5962854623794556,711396.0
-7492,3440,-458,-11342,-13689,3704,-4621,5927,604,-8983,-3075,-15127,6673,8810,2476,2418,16231,11986,2918,1081,-63,10239,-2199,-1443,0.30791789293289185,2.0,0.6158357858657837,734720.0
-7889,1563,-2070,-11324,-15120,733,-3161,5833,-1007,-8377,-2153,-15141,6251,10530,2125,2602,16165,8368,1898,1288,-593,7880,-2791,-1661,0.2981427311897278,2.0,0.5962854623794556,711396.0
-7854,184,-2524,-13449,-15989,-2652,-1455,4957,-2510,-5095,25,-14670,7230,11126,66,3346,17258,5585,2121,1535,-1448,7979,-2923,-1511,0.30791789293289185,2.0,0.6158357858657837,734720.0
-8264,-310,-3369,-14061,-15694,-5092,-1089,4422,-2842,-3637,-796,-15130,6938,10849,-1290,5151,27034,-1132,2664,1796,-1829,7333,-2967,-2315,0.3030303120613098,2.0,0.6060606241226196,723058.0
