wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-1524,636,-1475,-3131,7739,-2076,561,242,-5,2367,8032,-1003,1268,4276,-1386,8596,1130,-1456,3810,822,-1193,5295,-4685,-4362,0.371456503868103,5.053763389587402,1.8772532939910889,0.3950028419494629
1207,-1303,-3297,-6089,6793,-7065,189,-1756,2045,1906,6239,-1986,-262,-1063,-3228,8380,6143,-9202,-232,252,432,8014,-1461,155,0.32258063554763794,5.053763389587402,1.6302461624145508,0.40019384026527405
1199,-1230,-3997,-5986,6823,-7313,1002,-2024,2376,1765,6516,-2107,-797,-1987,-4082,8151,6688,-10250,-222,375,494,7857,-1486,324,0.3176930546760559,5.053763389587402,1.6055455207824707,0.4002015292644501
1559,-554,-5082,-8130,7650,-7661,1849,-2576,2675,1740,7139,-2180,-878,-3047,-4365,10057,6088,-12129,-126,177,377,7560,-1203,232,0.3176930546760559,5.053763389587402,1.6055455207824707,0.4002092182636261
2034,-232,-5948,-9992,8616,-7188,2163,-2717,2763,2111,7958,-2100,247,-3966,-4580,10834,7507,-12353,119,-21,252,7750,-823,-286,0.3176930546760559,5.053763389587402,1.6055455207824707,0.40021687746047974
2559,-39,-6722,-10365,9239,-6793,2339,-2899,2944,1864,8369,-2512,1259,-5563,-5195,11848,9940,-11491,216,-182,138,7878,-707,-960,0.3323558270931244,5.053763389587402,1.67964768409729,0.4002249240875244
3112,323,-7731,-10580,9692,-7133,2404,-3774,2898,1822,7607,-3169,1377,-6763,-6017,13449,11257,-11179,63,-229,103,7753,-805,-1248,0.3323558270931244,5.053763389587402,1.67964768409729,0.4002329707145691
3317,1312,-8975,-12128,10719,-7405,2656,-4575,2801,2859,7186,-3871,2050,-7428,-6318,15686,11800,-11659,-119,-239,141,7510,-1045,-1338,0.3176930546760559,5.053763389587402,1.6055455207824707,0.40024060010910034
3742,2958,-10740,-13515,10907,-6703,2950,-3474,2867,3982,7869,-3988,3783,-7623,-6688,15968,11925,-12068,-391,-141,268,7566,-1259,-1344,0.3176930546760559,5.053763389587402,1.6055455207824707,0.40024828910827637
4351,3606,-11501,-12720,9968,-6200,3058,-2980,2576,4205,8259,-4425,4606,-8224,-7323,14924,12294,-11897,-589,3,391,7602,-1343,-1218,0.32258063554763794,5.053763389587402,1.6302461624145508,0.40025609731674194
5148,4127,-12191,-12580,8471,-6341,3162,-2793,1924,2729,7741,-5433,4313,-9217,-7767,14365,12735,-11613,-639,72,453,7529,-1463,-998,0.3176930546760559,5.053763389587402,1.6055455207824707,0.40026378631591797
5660,3461,-12542,-12993,7061,-6757,3337,-2046,1402,1437,7260,-4982,3076,-9802,-7948,13577,12301,-10995,-511,114,487,7568,-1614,-762,0.3176930546760559,5.053763389587402,1.6055455207824707,0.4002714455127716
6121,1355,-12567,-11370,5075,-6940,3499,-924,745,842,7184,-4773,408,-9807,-7652,12590,8862,-9977,-325,84,447,7621,-1660,-564,0.3176930546760559,5.053763389587402,1.6055455207824707,0.40027910470962524
6314,20,-12537,-9558,4312,-6324,3582,-578,157,-177,6672,-5290,-1425,-9216,-6949,10556,4462,-9152,-205,25,382,7703,-1656,-463,0.3176930546760559,5.053763389587402,1.6055455207824707,0.40028679370880127
6361,-787,-12265,-6443,3122,-6140,4021,-619,-866,-1653,6288,-6124,-1704,-9072,-6795,8505,2043,-8434,-8,-36,276,7629,-1727,-491,0.32258063554763794,5.053763389587402,1.6302461624145508,0.40029457211494446
6300,-643,-11586,-3210,1954,-4771,4326,-786,-1504,-1985,6148,-6480,-1227,-9607,-6763,6547,341,-7897,156,-111,173,7654,-1735,-611,0.32258063554763794,5.053763389587402,1.6302461624145508,0.40030235052108765
6143,145,-11027,-2095,1149,-4073,4707,-1419,-1984,-2110,5762,-6752,-747,-10194,-6221,5081,-545,-6654,221,-115,138,7610,-1693,-757,0.3176930546760559,5.053763389587402,1.6055455207824707,0.40031003952026367
6088,1520,-9963,-927,-600,-4719,5320,-2630,-2486,-1542,6246,-7433,-36,-10593,-6037,4023,-2614,-5960,230,-119,138,7587,-1785,-886,0.32746821641921997,5.053763389587402,1.6549469232559204,0.4003179371356964
