wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
1819,207,-6065,-8945,-5632,-7216,1168,1233,-2367,-1332,11621,-5193,-176,-458,-4850,-925,14136,-5377,-1179,-789,1119,10496,-866,-3932,0.4545454680919647,5.043988227844238,2.29272198677063,0.0
209,-2016,1651,-1127,7801,-4512,476,-2831,-175,-443,8470,-3363,-1782,-125,1355,7783,2593,-3382,-1993,376,352,8303,1248,-1047,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
201,-1977,1334,-843,7220,-4487,395,-2594,-88,182,8025,-3479,-1628,51,1128,7367,2574,-3541,-2226,217,-104,7810,629,-548,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
200,-1759,1021,-496,6964,-4399,360,-2216,-80,504,7572,-3321,-1389,83,739,6906,2480,-3698,-1368,13,-191,7755,-99,-308,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
258,-1300,668,-577,6765,-4408,337,-1887,20,243,7360,-3048,-1063,24,451,6660,2320,-3968,-578,212,-217,7724,-116,97,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
337,-1069,469,-532,6672,-4390,272,-1333,233,30,7617,-2556,-817,-85,115,6532,2239,-4167,-749,111,-207,7723,-490,368,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
403,-994,326,-678,6631,-4569,203,-1005,313,-283,7701,-2434,-829,-211,-73,6496,2191,-4338,-777,-641,-138,7866,-749,402,0.32258063554763794,5.043988227844238,1.627092957496643,0.0
500,-1092,251,-744,6670,-4462,132,-919,275,-899,7277,-2161,-1094,-407,-82,6466,2190,-4372,-1082,-683,-65,8081,-1026,538,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
588,-1291,185,-694,6781,-4377,283,-1199,198,-1177,7475,-2204,-1395,-649,-10,6671,2102,-4329,-1545,165,-99,7771,-678,153,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
736,-1612,199,-795,7088,-4540,450,-1669,96,-1358,7810,-2344,-1765,-767,51,6973,1865,-4269,-1745,720,-108,7432,-410,0,0.30791789293289185,5.043988227844238,1.5531342029571533,0.0
802,-1821,237,-663,7059,-4662,508,-2050,26,-1225,7839,-2568,-1920,-770,120,7003,1684,-4055,-1630,599,-34,7280,-201,-660,0.30791789293289185,5.043988227844238,1.5531342029571533,0.0
850,-1990,331,-594,6787,-4702,488,-2353,-14,-1101,7665,-2778,-1956,-699,152,6962,1682,-3928,-1333,457,95,7804,-212,-1410,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
850,-2067,354,-484,6764,-4623,466,-2549,-13,-634,7325,-3040,-1976,-602,171,6785,1655,-3942,-1185,380,-62,8287,-222,-1678,0.36168134212493896,5.053763389587402,1.8278518915176392,0.0
814,-2108,377,-248,6466,-4622,552,-2502,18,-389,7214,-3025,-1919,-561,129,6457,1556,-3955,-444,612,-761,8400,-1133,-2092,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
822,-1934,236,-58,6336,-4579,530,-2125,81,82,7184,-2849,-1815,-567,104,6187,1431,-4061,1038,367,-987,7659,-1137,-2488,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
810,-1650,189,-198,6200,-4403,433,-1689,80,124,6909,-2603,-1539,-623,53,5952,1231,-4119,177,-214,-977,7163,-935,-2578,0.30791789293289185,5.043988227844238,1.5531342029571533,0.0
810,-1467,213,-111,6179,-4486,467,-1174,36,29,6738,-2384,-1228,-763,-2,5980,1149,-4173,-1650,-1113,-447,6888,-795,-1950,0.3128054738044739,5.043988227844238,1.577787160873413,0.0
851,-1157,249,81,6186,-4588,522,-932,-14,-173,6993,-2375,-966,-833,-11,6237,1116,-4259,-2254,-1118,110,6875,-905,-885,0.34213098883628845,5.053763389587402,1.7290490865707397,0.0
916,-867,265,26,6402,-4680,722,-841,-138,-625,7125,-2333,-787,-851,54,6391,1057,-4396,-2017,-890,383,7267,-957,-514,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
986,-615,344,-187,6680,-4597,856,-966,-203,-915,7332,-2374,-583,-934,107,6502,1134,-4360,-1559,-368,1013,7598,-670,-704,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
1001,-553,420,-203,6990,-4468,1020,-1395,-260,-1295,7852,-2624,-546,-1146,130,6903,1325,-4310,-1772,610,1217,7868,-299,-919,0.3861192464828491,5.053763389587402,1.9513553380966187,0.0
1065,-604,520,-284,7727,-4816,1153,-1871,-285,-1565,8301,-2894,-676,-1173,181,7563,1400,-4307,-2635,785,1162,8300,-403,-688,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
1064,-746,567,-318,7739,-4949,1172,-2404,-256,-1618,8480,-3242,-834,-1033,298,7805,1496,-4275,-2770,8,855,8823,-360,-849,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
1060,-943,621,-419,7612,-4848,1161,-2749,-203,-1331,8364,-3676,-1153,-923,379,7671,1675,-4135,-2852,81,-179,9088,-138,-708,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
1033,-1392,644,-528,7563,-4520,987,-3102,0,-983,7926,-4296,-1543,-837,420,7399,1795,-3851,-2004,-34,-368,8904,-352,-582,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
934,-1821,628,-402,7508,-4331,833,-3066,259,-696,8225,-4830,-1918,-809,362,7390,1712,-3586,-710,601,-213,8042,175,-646,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
762,-2098,528,-231,7579,-4289,506,-2733,714,-530,8512,-5124,-2035,-723,295,7317,1430,-3401,-465,810,16,7599,63,-320,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
492,-2051,479,-264,7495,-4359,200,-2225,1043,-566,8379,-4969,-1850,-559,221,7182,1015,-3163,200,429,188,7331,-228,-31,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
142,-1716,451,104,6868,-4432,-223,-1259,1293,-611,7945,-4385,-1279,-301,163,7008,777,-3062,721,-212,557,7747,183,193,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-143,-1215,453,212,6575,-4784,-411,-486,1269,-229,7113,-3762,-615,163,170,6576,482,-3212,518,-503,1209,8621,-92,669,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
-415,-412,426,288,5903,-4767,-468,361,1082,85,6731,-3319,94,573,356,6133,369,-3639,-404,360,1455,10439,-686,1650,0.3176930546760559,5.053763389587402,1.6055455207824707,0.0
-572,283,426,289,5611,-4641,-345,1300,735,90,6552,-2750,746,801,554,5469,467,-3978,-1019,2195,991,9539,-737,1449,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-660,866,640,-171,5109,-4459,-361,1771,313,-672,6208,-2269,1120,802,683,5120,842,-4172,-1336,2358,618,7578,-368,-384,0.30791789293289185,5.053763389587402,1.556144118309021,0.0
-606,1056,806,-268,5146,-4236,-337,1789,86,-1272,6160,-2240,1211,623,867,5010,1291,-4421,-354,1542,-133,6677,-727,-612,0.3176930546760559,5.043988227844238,1.6024399995803833,0.0
-508,1227,906,-231,5662,-4303,-148,1585,-7,-1848,6264,-1956,1005,264,986,5232,1620,-4605,670,745,-653,5642,-595,-598,0.3128054738044739,5.053763389587402,1.5808448791503906,0.0
-442,1128,1036,-678,5961,-4356,34,1148,-78,-1964,6771,-1943,723,-124,1086,5632,1866,-4505,1597,-139,-846,5395,-735,-807,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
