wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
730,383,442,-1318,-8224,4560,-465,-384,221,1960,7680,-3334,2567,-12911,-1770,-6519,-21,-5926,-67,-32,18,7849,204,195,0.37634408473968506,5.043988227844238,1.8982751369476318,0.10408864170312881
-549,934,-471,-3070,-4154,-6826,-131,1,-387,8344,-1355,-3585,943,668,-458,-4792,6535,-5814,-362,-12,12,7846,-65,200,0.3128054738044739,5.053763389587402,1.5808448791503906,0.10818769782781601
-485,882,-654,-3533,-4006,-6869,-125,285,-453,8139,-1399,-3640,210,731,-671,-4443,7294,-5916,-372,-9,-12,7810,-40,87,0.2981427311897278,5.043988227844238,1.5038284063339233,0.10819488763809204
-439,-25,-862,-4441,-4221,-6936,66,280,-448,7282,-1424,-3634,-752,654,-867,-4640,7019,-6014,-412,8,-10,7871,35,3,0.3128054738044739,5.043988227844238,1.577787160873413,0.10820242017507553
-379,-960,-1063,-4308,-4238,-7233,194,-104,-406,7041,-1246,-3664,-1068,534,-1108,-4470,7114,-6181,-489,23,3,7948,153,-41,0.32258063554763794,5.053763389587402,1.6302461624145508,0.10821022093296051
-194,-1298,-1648,-4392,-4100,-7511,118,-758,-425,7188,-1058,-3286,-984,682,-1196,-3986,9135,-6282,-488,54,14,7957,217,-31,0.3176930546760559,5.043988227844238,1.6024399995803833,0.10821789503097534
4,-1267,-2438,-5588,-3943,-7336,28,-1324,-478,6996,-787,-2558,-1627,755,-1470,-3365,11934,-6095,-375,67,30,7886,258,29,0.32258063554763794,5.043988227844238,1.627092957496643,0.10822568833827972
138,-2626,-3934,-7220,-3895,-7664,-178,-2405,-343,6655,-242,-1648,-3379,946,-2498,-2368,14272,-6098,-181,45,16,7754,131,27,0.3176930546760559,5.053763389587402,1.6055455207824707,0.10823336243629456
218,-4365,-5097,-6220,-3277,-8082,-620,-2975,-184,7600,-583,-1763,-5638,1378,-3651,-940,12611,-7131,64,-33,23,7715,-45,38,0.30791789293289185,5.043988227844238,1.5531342029571533,0.10824079066514969
256,-4770,-6255,-5173,-2176,-7578,-851,-2147,11,9301,-1026,-2483,-5361,1548,-5046,-121,10604,-7352,189,-96,34,7714,-115,107,0.32258063554763794,5.043988227844238,1.627092957496643,0.10824857652187347
13,-2962,-7706,-5384,-1173,-6770,-735,-1051,46,9743,-951,-2899,-3805,1358,-6368,662,9975,-6753,188,-139,45,7810,-155,233,0.32258063554763794,5.053763389587402,1.6302461624145508,0.10825636982917786
-171,-1665,-8479,-5634,-1144,-6730,-670,-60,-10,9687,-837,-3511,-2980,1307,-7434,1651,9656,-6141,157,-118,36,8027,-204,282,0.3176930546760559,5.043988227844238,1.6024399995803833,0.10826404392719269
-338,-968,-9373,-6099,-1349,-6771,-790,1073,-53,9221,-744,-4294,-2966,1520,-7767,2418,9469,-5540,176,-32,0,8072,-218,302,0.32746821641921997,5.053763389587402,1.6549469232559204,0.10827196389436722
-410,-1241,-10045,-6532,-1174,-6703,-831,1609,-40,8727,-980,-4944,-3999,2172,-7769,3408,8850,-5316,199,-38,-51,7922,-146,345,0.32258063554763794,5.053763389587402,1.6302461624145508,0.1082797572016716
-566,-2489,-10709,-6064,-635,-7088,-762,1899,39,8249,-1273,-5405,-4974,3177,-7879,3956,7679,-5589,225,-102,-66,7809,-45,295,0.32746821641921997,5.053763389587402,1.6549469232559204,0.10828765481710434
-780,-3310,-10924,-4639,-248,-7049,-726,2092,147,7897,-1475,-5634,-4761,4048,-8446,3850,5636,-6151,185,-140,-46,7836,-3,154,0.3176930546760559,5.043988227844238,1.6024399995803833,0.10829532146453857
-1189,-3174,-11404,-2630,-44,-6849,-586,2360,343,7568,-1667,-5908,-3526,4489,-8887,4540,4711,-6534,127,-143,-4,7830,86,75,0.32258063554763794,5.043988227844238,1.627092957496643,0.10830309987068176
-1464,-2123,-11926,-2496,411,-6497,-460,2312,514,7432,-1516,-5683,-2324,4761,-9275,5320,4856,-6682,51,-116,33,7883,181,1,0.3030303120613098,5.043988227844238,1.528481364250183,0.10831039398908615
-1703,-1311,-12594,-3058,1033,-6430,-283,1563,643,6997,-1564,-5073,-1663,4951,-9811,6022,4365,-6658,-57,-68,64,7910,344,-19,0.32746821641921997,5.053763389587402,1.6549469232559204,0.10831829905509949
-1905,-1434,-13272,-3421,1685,-6696,-123,899,694,7394,-1492,-4508,-1430,5258,-10238,7426,4527,-6620,-131,-92,53,7879,330,-7,0.3128054738044739,5.043988227844238,1.577787160873413,0.10832583904266357
-2035,-1888,-13810,-2943,2139,-6564,136,616,705,7848,-1609,-4473,-2097,5526,-10628,8312,4075,-6995,-134,-78,50,7922,289,-82,0.32258063554763794,5.053763389587402,1.6302461624145508,0.10833364725112915
-2157,-2687,-14296,-1488,2770,-6423,709,812,617,8598,-1879,-4811,-2938,6022,-11550,9888,3123,-7650,-47,-30,35,8024,203,-143,0.3128054738044739,5.043988227844238,1.577787160873413,0.10834117978811264
-2337,-3211,-14714,-802,3692,-6429,1172,1328,506,8683,-1971,-5084,-3478,6359,-12463,10372,1543,-8335,14,46,5,8038,39,-188,0.32258063554763794,5.053763389587402,1.6302461624145508,0.10834895819425583
-2808,-3649,-15181,0,4584,-6879,1677,2166,297,8286,-2253,-5423,-3434,6721,-12988,11601,-491,-8904,77,60,-27,7855,-33,-178,0.3128054738044739,5.053763389587402,1.5808448791503906,0.10835650563240051
-3105,-3798,-15362,772,5205,-7259,2029,2782,147,8178,-2373,-5812,-3420,7005,-13257,12716,-1821,-10036,151,18,-48,7762,-114,-139,0.30791789293289185,5.043988227844238,1.5531342029571533,0.10836392641067505
-3317,-4297,-15578,1256,6622,-7480,2528,3541,-51,7846,-1984,-6190,-3466,7186,-13488,14568,-1837,-11607,256,-30,-71,7766,-227,-213,0.3128054738044739,5.043988227844238,1.577787160873413,0.10837148129940033
-3347,-4660,-15846,1198,8288,-8033,2937,3410,-83,6656,-1810,-5794,-4421,7309,-13711,15931,-2763,-13425,398,-30,-91,7827,-249,-260,0.3128054738044739,5.043988227844238,1.577787160873413,0.10837902873754501
-3447,-5261,-15934,1347,10602,-9410,3309,2035,190,6214,-2076,-4171,-4814,7433,-13929,16936,-3958,-15117,518,-27,-106,7814,-170,-148,0.3128054738044739,5.043988227844238,1.577787160873413,0.1083865538239479
