wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
929,3100,-6003,-17811,-2061,-478,4549,-1158,-2643,2399,8561,-256,-2100,1688,-7015,4516,17780,-4034,-2355,604,-664,15424,6278,-3261,0.37634408473968506,5.043988227844238,1.8982751369476318,0.0
768,-2694,1604,320,2112,51,-583,137,-2068,1706,3034,211,-2114,-728,2276,1705,-1967,-1044,-3602,186,854,1874,-21,-2062,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
842,-2175,2090,790,2289,0,-463,235,-1541,1768,2377,58,-1551,-958,2371,2413,-1156,-993,-1925,-144,287,501,-485,-2831,0.3323558270931244,5.043988227844238,1.6763988733291626,0.0
655,-1171,2617,491,3668,-24,-179,331,-1055,1480,2024,-88,-986,-1339,2350,3452,-541,-1105,-335,-925,-559,-1290,-930,-3538,0.3323558270931244,5.053763389587402,1.67964768409729,0.0
401,-257,2915,-452,4378,-315,44,510,-478,1426,2231,-294,-7,-1581,2403,4161,575,-1005,2176,-1756,-1010,-1785,-1157,-4185,0.32258063554763794,5.043988227844238,1.627092957496643,0.0
229,689,3083,-1885,4924,-653,25,748,-19,1191,2717,-559,1082,-1373,2652,5165,2305,-873,3803,-2839,-1152,-955,-628,-4340,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
64,1618,2981,-4035,5270,-723,-343,1181,414,1441,4099,-325,1684,-1117,2528,5862,5355,-810,4197,-3887,-869,1783,474,-4218,0.3323558270931244,5.043988227844238,1.6763988733291626,0.0
95,2088,2767,-5495,5522,-700,-901,1632,790,1165,5534,55,2221,-689,1937,5813,7648,-1198,4450,-4538,-459,6872,1582,-4829,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
253,2569,2718,-6990,5482,-817,-1326,2155,1716,1092,8259,1740,2630,-676,1186,5706,7829,-2311,4060,-4777,888,13400,3000,-6378,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
392,3621,2754,-8600,5602,-954,-925,789,3051,790,11719,3374,3801,-1105,1390,5721,9281,-3025,2390,-2084,534,15680,5227,-5579,0.3372434079647064,5.043988227844238,1.7010518312454224,0.0
790,5267,2870,-12866,6326,-1573,-1031,-3944,4193,1910,14501,2810,4136,-1656,1747,6604,13559,-3300,678,-1919,-328,12208,6210,-3507,0.32258063554763794,5.043988227844238,1.627092957496643,0.0
1066,5540,3235,-16240,7620,-2449,-1464,-6094,4354,4173,14820,1752,4094,-1951,1810,7597,16694,-3737,-893,-1663,-811,14001,3375,-2446,0.32258063554763794,5.053763389587402,1.6302461624145508,0.0
1620,4627,3566,-19114,8260,-2971,-1942,-6125,5415,6052,14550,1026,3656,-2344,2120,7533,18193,-3576,-1794,-420,-276,13867,2605,-1993,0.3323558270931244,5.043988227844238,1.6763988733291626,0.0
1974,3003,4036,-19846,6939,-2930,-2046,-6012,6838,7036,13896,561,2614,-2705,2767,7129,18059,-2564,-1978,-657,-509,12713,1848,-1934,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
2203,820,4279,-17156,5813,-2288,-1697,-6033,7941,8084,12347,695,1357,-2860,3375,6472,17319,-1735,-642,-480,-695,14430,327,-3233,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
2191,465,4328,-16047,5346,-1928,-1056,-6467,8037,8975,11481,652,1486,-2729,3375,6116,16132,-592,570,41,-687,13571,-661,-3429,0.32746821641921997,5.043988227844238,1.6517457962036133,0.0
2248,1224,4110,-14494,4355,-1106,431,-5584,7442,9765,10452,-238,2327,-2346,3157,5407,15392,675,1442,568,-630,12620,-1299,-3195,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
2267,2071,3818,-13871,3406,-497,816,-4648,6910,9538,9948,-833,3255,-1675,2717,4427,15200,1896,2784,914,-700,11624,-1862,-3067,0.3323558270931244,5.053763389587402,1.67964768409729,0.0
2192,2625,3423,-13424,2060,584,960,-2903,5377,8802,9339,-979,3373,-1050,2237,3366,14926,2646,3734,1289,-706,10680,-1263,-3537,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
2029,2282,2907,-12638,1127,1242,404,-1740,4385,7576,7840,-1033,2770,-725,1845,2103,14010,3143,4281,1537,-992,9991,-167,-3503,0.32746821641921997,5.053763389587402,1.6549469232559204,0.0
1732,1613,2334,-11290,346,1770,63,-833,3528,5505,5455,-1163,2097,-462,1571,1443,12146,3828,4369,1646,-1459,8888,1167,-3196,0.35679373145103455,5.053763389587402,1.8031511306762695,0.0
1206,207,1738,-9361,-414,2138,-27,-242,3230,3650,4007,-1258,861,142,1455,668,9774,4759,3718,1755,-1653,7321,2124,-2758,0.39100685715675354,5.043988227844238,1.9722340106964111,0.0
802,-1286,1426,-7666,-963,2467,-108,56,3065,2445,2902,-1268,-792,795,1397,-117,7913,5396,2365,1815,-1803,6026,2449,-2389,0.3323558270931244,5.043988227844238,1.6763988733291626,0.0
113,-3331,1116,-5423,-1839,2502,-68,364,2871,1622,1855,-936,-3189,1709,1442,-381,7319,5643,1129,1924,-1776,4392,2296,-2054,0.3372434079647064,5.053763389587402,1.7043484449386597,0.0
-373,-4911,898,-3960,-2310,2109,102,658,2435,1348,1425,-681,-6092,3058,1525,-526,6010,5184,-343,2026,-1622,3101,2039,-1293,0.34213098883628845,5.053763389587402,1.7290490865707397,0.0
-988,-6676,546,-2296,-2627,1495,198,968,1657,1192,815,-389,-7118,4025,1463,-1143,3485,4000,-760,2329,-1342,2424,1636,-218,0.3470185697078705,5.053763389587402,1.7537497282028198,0.0
-1368,-7257,308,-590,-2646,1127,364,1060,1054,850,-440,-204,-6920,4976,1328,-1632,1179,2972,-797,2630,-896,1384,1291,96,0.36168134212493896,5.053763389587402,1.8278518915176392,0.0
