wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-385,2373,-213,-1271,7064,-337,-264,419,354,1013,7782,1177,2113,278,528,7075,1715,1364,-1453,-915,1051,4585,-636,-6336,0.30791789293289185,2.0,0.6158357858657837,734713.0
159,-1002,135,-8492,-1378,-1,-662,22,-716,3399,7662,-722,-604,565,5,-1523,10063,480,447,63,-81,7868,-796,301,0.366568922996521,2.0,0.733137845993042,874645.0
152,-779,-270,-7776,-1464,0,-700,380,-660,3230,7239,-847,-624,492,-284,-1743,8952,56,654,85,-111,7940,-736,266,0.2981427311897278,2.0,0.5962854623794556,711396.0
68,-698,-451,-7656,-1332,-75,-701,413,-448,3008,7103,-822,-722,318,-383,-1552,8186,-211,864,143,-96,7972,-444,399,0.30791789293289185,2.0,0.6158357858657837,734720.0
-46,-674,-430,-7438,-1173,-314,-676,390,-279,2867,6962,-786,-501,199,-448,-1541,7588,-332,940,273,-29,8068,-178,264,0.30791789293289185,2.0,0.6158357858657837,734720.0
-37,-652,-361,-7362,-1423,-425,-556,327,-242,2662,7374,-737,-446,147,-321,-1650,7534,-384,921,399,-9,8131,91,153,0.3030303120613098,2.0,0.6060606241226196,723058.0
34,-683,-327,-7245,-1635,-354,-688,100,-223,2321,7857,-745,-493,15,-247,-1873,7589,-447,775,447,-47,7970,217,93,0.30791789293289185,2.0,0.6158357858657837,734720.0
78,-722,-279,-7125,-1723,-329,-803,-244,-261,2237,7870,-771,-570,-81,-250,-1929,7452,-518,705,384,-85,7533,258,-10,0.3030303120613098,2.0,0.6060606241226196,723058.0
110,-657,-188,-6962,-1822,-391,-774,-381,-374,2487,7721,-758,-501,-144,-274,-2001,7358,-506,693,293,-72,7688,316,-142,0.3128054738044739,2.0,0.6256109476089478,746382.0
118,-516,-125,-6999,-1840,-416,-712,-533,-376,2820,7560,-683,-359,-222,-248,-2015,7096,-451,646,203,-53,7625,360,-226,0.3176930546760559,2.0,0.6353861093521118,758044.0
