wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-2880,1135,-721,-1160,-7619,4968,238,1146,-788,-1790,7612,-2797,5407,20104,3392,-1138,1653,-1797,-143,86,44,7700,-780,-563,0.366568922996521,5.053763389587402,1.8525526523590088,0.18267519772052765
-239,671,-71,-2253,7335,-2665,-64,235,-81,956,7918,-1645,576,-321,91,7798,954,-1567,118,-46,-28,6609,-2130,-3470,0.3519061505794525,5.043988227844238,1.7750104665756226,0.1913072168827057
-222,540,-72,-2231,7560,-2651,-40,81,-1,967,7964,-1635,508,-355,38,7825,993,-1373,116,-77,-46,6640,-2145,-3426,0.3470185697078705,5.053763389587402,1.7537497282028198,0.19131553173065186
-229,522,-122,-2096,7536,-2800,-40,-77,120,1122,7966,-1698,523,-360,-42,8014,906,-1400,115,-106,-69,6705,-2119,-3366,0.34213098883628845,5.053763389587402,1.7290490865707397,0.19132375717163086
-266,576,-170,-2139,7481,-2829,-66,-12,168,1244,8021,-1827,512,-317,-107,8022,907,-1473,141,-114,-91,6770,-2134,-3305,0.3372434079647064,5.053763389587402,1.7043484449386597,0.19133183360099792
-263,560,-218,-2338,7505,-2881,-46,76,198,1164,7994,-1826,466,-211,-140,7874,973,-1573,208,-102,-123,6795,-2174,-3306,0.3323558270931244,5.053763389587402,1.67964768409729,0.19133982062339783
-316,421,-201,-2353,7496,-3045,-8,91,234,1153,8046,-1838,62,-272,-102,8145,1264,-1979,263,-126,-149,6797,-2178,-3318,0.3176930546760559,5.053763389587402,1.6055455207824707,0.19134747982025146
-299,194,-178,-2585,7402,-3226,60,111,304,1138,8078,-1933,-176,-227,-120,7920,856,-1970,294,-178,-176,6751,-2141,-3270,0.3128054738044739,5.053763389587402,1.5808448791503906,0.19135503470897675
-261,6,-136,-2498,7557,-3540,57,321,309,1159,8027,-1969,-69,-184,-149,8077,843,-2438,333,-297,-211,6655,-2200,-3239,0.30791789293289185,5.053763389587402,1.556144118309021,0.19136248528957367
-266,129,-216,-2788,7024,-3983,146,281,362,1177,7669,-1966,109,-186,-180,8405,871,-2940,401,-434,-222,6575,-2201,-3258,0.32258063554763794,5.053763389587402,1.6302461624145508,0.19137027859687805
-101,242,-347,-2917,7068,-3992,270,125,442,1156,7589,-1946,406,65,-220,7931,1154,-3121,406,-504,-223,6546,-2180,-3341,0.3176930546760559,5.053763389587402,1.6055455207824707,0.19137795269489288
-17,440,-440,-2805,7017,-4025,378,-24,507,1213,7626,-2010,623,13,-371,7920,1275,-3114,382,-537,-207,6558,-1995,-3423,0.32746821641921997,5.053763389587402,1.6549469232559204,0.19138585031032562
200,510,-635,-2938,6883,-4637,391,14,537,1196,7702,-1986,948,28,-696,8506,1384,-3870,290,-544,-189,6615,-1900,-3454,0.3128054738044739,5.053763389587402,1.5808448791503906,0.1913934051990509
742,723,-1098,-4013,7045,-5368,266,49,512,1070,7733,-1840,1452,229,-878,9127,1845,-5157,223,-533,-176,6713,-1929,-3376,0.32746821641921997,5.053763389587402,1.6549469232559204,0.19140131771564484
1184,491,-1431,-5036,7194,-5510,172,-446,626,777,7895,-1720,1504,453,-840,8775,2934,-6306,157,-469,-164,6754,-1965,-3192,0.32258063554763794,5.053763389587402,1.6302461624145508,0.19140909612178802
1758,-259,-1930,-6025,7259,-5804,188,-1134,896,948,8004,-1844,318,-197,-562,8510,4781,-7313,100,-350,-148,6787,-1942,-3014,0.3128054738044739,5.053763389587402,1.5808448791503906,0.1914166510105133
2239,-1113,-2550,-7054,7718,-5810,278,-2128,1275,1196,7974,-1875,-473,-1107,-947,8960,7041,-8013,82,-264,-119,6953,-1907,-2894,0.30791789293289185,5.053763389587402,1.556144118309021,0.19142410159111023
2692,-2707,-3560,-8017,8412,-5824,285,-2748,1441,1728,7879,-1844,-1368,-2236,-2450,9330,9112,-8476,68,-117,-111,7177,-1964,-2934,0.3128054738044739,5.053763389587402,1.5808448791503906,0.1914316564798355
2902,-3762,-4445,-8269,8844,-5408,443,-3008,1644,2475,7833,-1980,-2672,-4143,-3617,10457,10289,-8613,66,64,-127,7238,-2098,-2951,0.3128054738044739,5.053763389587402,1.5808448791503906,0.1914392113685608
2963,-4519,-5734,-9064,8932,-4729,624,-2922,1761,2458,7867,-2410,-3830,-5615,-4904,11252,10367,-7931,66,191,-121,7192,-2213,-2944,0.3176930546760559,5.043988227844238,1.6024399995803833,0.19144688546657562
2809,-4878,-6648,-9899,8603,-4051,796,-2693,1812,2345,7899,-2803,-4691,-6460,-5588,12215,9679,-7241,28,338,-123,7214,-2281,-2924,0.3128054738044739,5.053763389587402,1.5808448791503906,0.19145441055297852
