wrist_Gx,wrist_Gy,wrist_Gz,wrist_Ax,wrist_Ay,wrist_Az,biceps_Gx,biceps_Gy,biceps_Gz,biceps_Ax,biceps_Ay,biceps_Az,palm_Gx,palm_Gy,palm_Gz,palm_Ax,palm_Ay,palm_Az,thigh_Gx,thigh_Gy,thigh_Gz,thigh_Ax,thigh_Ay,thigh_Az,current,voltage,power,energy
-254,273,149,-1789,7219,-2598,30,198,-56,2931,7229,-2296,495,327,99,6337,497,-4415,-38,55,31,7898,-419,-826,0.30791789293289185,2.0,0.6158357858657837,734675.0
-71,400,-287,-5926,4402,-4084,87,484,195,3486,7180,-2621,354,-130,-336,4802,5327,-5064,177,-56,-26,7944,539,70,0.3030303120613098,2.0,0.6060606241226196,723036.0
-74,521,-395,-5916,4477,-4161,111,471,273,3549,7266,-2691,436,-143,-444,4945,5499,-5054,175,-17,-42,7918,495,107,0.3030303120613098,2.0,0.6060606241226196,723058.0
-83,596,-508,-6051,4468,-4225,116,457,327,3612,7298,-2640,474,-111,-573,5074,5704,-5064,220,-8,-67,7858,497,83,0.3030303120613098,2.0,0.6060606241226196,723058.0
-99,634,-707,-6280,4548,-4375,119,483,349,3675,7304,-2645,463,-20,-735,5246,5932,-5173,287,-29,-76,7831,594,96,0.2981427311897278,2.0,0.5962854623794556,711396.0
-104,616,-871,-6618,4624,-4358,101,455,406,3895,7367,-2627,399,39,-888,5536,6553,-5190,231,-77,-67,7840,633,100,0.2981427311897278,2.0,0.5962854623794556,711396.0
-162,536,-1201,-7004,4713,-4430,24,410,560,4060,7296,-2539,306,93,-1057,5514,6913,-5158,216,-40,-45,7967,598,81,0.29325512051582336,2.0,0.5865102410316467,699733.0
-237,605,-1425,-6721,4620,-4555,62,450,675,4141,7082,-2418,371,144,-1445,5395,6708,-5232,282,55,-50,8103,566,49,0.2981427311897278,2.0,0.5962854623794556,711396.0
-402,1130,-1755,-6370,4536,-4708,255,648,859,4385,6769,-2654,798,98,-1979,5248,6477,-5222,344,103,-101,7920,572,-42,0.2981427311897278,2.0,0.5962854623794556,711396.0
-548,1876,-2149,-6254,4588,-5197,441,821,1058,4762,6673,-2954,1767,30,-2551,5524,6545,-5512,349,56,-139,7821,507,-71,0.3372434079647064,2.0,0.6744868159294128,804693.0
-724,3053,-2753,-6327,4630,-6424,628,1074,1451,4734,6614,-3294,2522,318,-3381,5888,7141,-6283,313,-7,-149,7739,568,-16,0.3030303120613098,2.0,0.6060606241226196,723058.0
-850,3866,-3209,-6533,4431,-6981,750,1065,1806,4988,6639,-3286,3207,545,-4320,5362,7675,-6966,193,-48,-115,7780,638,43,0.2981427311897278,2.0,0.5962854623794556,711396.0
-870,4515,-3836,-6756,4067,-7684,1065,1130,2202,5545,6716,-3066,3420,678,-4938,4972,7845,-7971,80,-52,-97,7845,723,5,0.2981427311897278,2.0,0.5962854623794556,711396.0
-796,4782,-4223,-6676,3710,-8549,1527,1498,2420,5797,6722,-3220,3460,784,-5586,4548,6972,-8988,-20,-67,-89,7908,805,-84,0.3030303120613098,2.0,0.6060606241226196,723058.0
-613,5268,-4547,-6061,3437,-9386,1847,1774,2599,5883,6617,-3404,3918,578,-6030,3459,5653,-10070,-131,-71,-74,7951,752,-141,0.3030303120613098,2.0,0.6060606241226196,723058.0
-390,5893,-4717,-5530,3107,-9554,2261,1715,3000,5908,6558,-3753,4771,-121,-5941,2822,4656,-11326,-208,-71,-73,7899,664,-203,0.3030303120613098,2.0,0.6060606241226196,723058.0
151,7192,-4883,-5275,2846,-10297,2496,1466,3285,6100,6669,-3759,6022,-1142,-5785,2288,4632,-12003,-322,-58,-58,7835,597,-74,0.2981427311897278,2.0,0.5962854623794556,711396.0
709,8272,-4923,-5168,3028,-10965,2704,1399,3654,6510,7079,-3496,6878,-1900,-5885,2527,5301,-12893,-414,-46,-51,7811,617,-28,0.2981427311897278,2.0,0.5962854623794556,711396.0
1357,9320,-4784,-4852,2874,-11602,2795,1493,3944,6407,7227,-3191,7365,-2645,-6151,2139,5793,-12728,-431,-49,-61,7891,664,-107,0.2981427311897278,2.0,0.5962854623794556,711396.0
1749,9561,-4640,-4725,2669,-11769,3029,1525,4265,6674,6975,-3392,7085,-3511,-6425,1832,5770,-12191,-438,-54,-75,7912,693,-270,0.2981427311897278,2.0,0.5962854623794556,711396.0
2126,9431,-4514,-4318,2218,-12302,3227,1036,4582,6818,6747,-3871,6784,-4002,-6183,1746,4553,-12345,-467,-29,-68,7954,540,-396,0.3030303120613098,2.0,0.6060606241226196,723058.0
2392,9391,-4333,-3353,1872,-12887,3487,161,4988,6901,6492,-3816,6939,-4071,-5788,1270,2919,-12765,-440,49,-57,8018,394,-400,0.3030303120613098,2.0,0.6060606241226196,723058.0
2719,9774,-3656,-1602,1293,-12745,3587,-70,5046,6762,6684,-3457,7388,-3993,-5407,7,1172,-12381,-384,107,-96,7916,375,-326,0.30791789293289185,2.0,0.6158357858657837,734720.0
2942,10210,-2950,-271,1012,-12166,3376,-209,5075,7373,6189,-3035,7801,-4466,-4948,-1126,-403,-12329,-353,129,-129,7912,487,-227,0.3030303120613098,2.0,0.6060606241226196,723058.0
3151,10899,-1991,1069,1137,-11436,3817,721,4501,8371,4802,-3024,8354,-4806,-4430,-1326,-1407,-11750,-302,128,-147,7909,562,-203,0.3030303120613098,2.0,0.6060606241226196,723058.0
3155,11468,-1399,1679,1357,-11658,3806,1225,4733,6754,6092,-3807,9082,-5384,-3666,-701,-2060,-11525,-284,101,-155,7877,677,-225,0.30791789293289185,2.0,0.6158357858657837,734720.0
3093,12021,-561,2469,1951,-12345,2790,387,5541,6601,5942,-3669,9588,-5187,-3184,122,-2788,-11675,-350,103,-150,7891,722,-183,0.3030303120613098,2.0,0.6060606241226196,723058.0
3035,12196,80,2710,2353,-12489,2251,-140,5596,6987,4770,-2689,9660,-4473,-2404,235,-3505,-11638,-422,124,-138,7965,848,-100,0.3030303120613098,2.0,0.6060606241226196,723058.0
